,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
518,HISTORIA DEL MUNDO CONTADA PARA ESCÉPTICOS,"ESLAVA GALÁN, JUAN",Ensayo,29,7.67,51,Muy bueno,6,"Juan Eslava Galán, que nos deleitó consu ya mítica Historia de España contadapara escépticos, nos sorprende ahora con una historia del mundo igualmente ágil y divertida, provocadora y didáctica, que e"
519,EL DARDO EN LA PALABRA,"LÁZARO CARRETER, FERNANDO",Ensayo,30,7.65,83,Muy bueno,1,"Publicado en 1997, El dardo en la palabra reunía por primera vez los artículos que habían aparecido, con este mismo título, en periódicos de España y de la América hispánica. Su compilación mostraba c"
520,LA NOCHE EN QUE FRANKENSTEIN LEYÓ EL QUIJOTE,"POSTEGUILLO, SANTIAGO",Ensayo,31,7.63,270,Muy bueno,51,¿Quién escribió las obras de Shakespeare? ¿Qué libro perseguía el KGB? ¿Qué novela ocultó Hitler? ¿Quién pensó en el orden alfabético para organizar los libros? ¿Qué autor burló al índice de libros pr
521,HISTORIA DE ESPAÑA CONTADA PARA ESCÉPTICOS,"ESLAVA GALÁN, JUAN",Ensayo,32,7.58,145,Muy bueno,15,"Edición revisada y actualizada. Desde la prehistoria hasta Podemos, el autor repasa la historia de nuestro país narrándola de una forma original y amena que enganchará a los lectores. Es esta una hist"
522,EL GEN EGOISTA: LAS BASES BIOLÓGICAS DE NUESTRA CONDUCTA,"DAWKINS, RICHARD",Ensayo,33,7.57,59,Muy bueno,3,"""Somos máquinas de supervivencia, autómatas programados a ciegas con el fin de perpetuar la existencia de los egoístas genes que albergamos en nuestras células."" Así de rotundo es el comienzo del libr"
523,EL HOMBRE QUE CONFUNDIÓ A SU MUJER CON UN SOMBRERO,"SACKS, OLIVER",Ensayo,34,7.56,149,Muy bueno,10,"En este libro, Sacks narra veinte historiales médicos de pacientes perdidos en el mundo extraño y aparentemente irremediable de las enfermedades neurológicas. Se trata de casos de individuos, aquejado"
524,EL MIEDO A LA LIBERTAD,"FROMM, ERICH",Ensayo,35,7.56,101,Muy bueno,4,"En este libro, Fromm analiza la situación del hombre en la moderna sociedad industrial y la paradójica noción de libertad/esclavitud que se produce al liberarse de los vínculos de la sociedad tradicio"
525,LA RESISTENCIA,"SABATO, ERNESTO",Ensayo,36,7.52,58,Muy bueno,2,"Un clásico contemporáneo de absoluta vigencia que nos invita a repensar la sociedad del siglo XXI.Con la misma firme voluntad de dar testimonio sobre su época, Ernesto Sabato nos pone en guardia contr"
526,EL ANTICRISTO. Maldición sobre el cristianismo,"NIETZSCHE, FRIEDRICH",Ensayo,37,7.51,132,Muy bueno,5,"Expresión más neta, enérgica y contundente del pensamiento tardío de Friedrich Nietzsche (1844-1900), ""El anticristo"" fue el primer inédito que padeció las operaciones de falseamiento y mutilación que"
527,LAS ENSEÑANZAS DE DON JUAN,"CASTAÑEDA, CARLOS",Ensayo,38,7.51,67,Muy bueno,8,"Como Lázaro vuelto de la tumba"" (dijo algún crítico), un antropólogo narra la primera etapa del aprendizaje que lo convertirá en ""hombre de conocimientos"" bajo la guía de un brujo yaqui. Con diversos "
528,EL ARTE DE AMAR,"FROMM, ERICH",Ensayo,39,7.48,187,Muy bueno,12,El arte de amar es una obra con la que Erich Fromm ha ayudado a varias generaciones a reflexionar sobre el amor y a responder a algunas preguntas aparentemente sencillas: ¿qué significa amar? ¿Cómo de
529,UNA HISTORIA DE ESPAÑA,"PÉREZ-REVERTE, ARTURO",Ensayo,40,7.48,70,Muy bueno,14,"Un relato ameno, personal, a ratos irónico, pero siempre único, de nuestra accidentada historia a través de los siglos. Una obra concebida por el autor para, en palabras suyas, «divertirme, releer y d"
530,TEORÍA KING KONG,"DESPENTES, VIRGINIE",Ensayo,41,7.43,66,Muy bueno,6,"Teoría King Kong es uno de los grandes libros de referencia del  feminismo y de la teoría de género, un incisivo ensayo en el que  Despentes comparte su propia experiencia para hablarnos sin tapujos n"
531,EL ANTROPÓLOGO INOCENTE. Notas desde una choza de barro,"BARLEY, NIGEL",Ensayo,42,7.39,70,Muy bueno,3,El antropólogo inocente es un texto ciertamente insólito del que se dijo: «Probablemente el libro más divertido que se ha publicado este año. Nigel Barley hace con la antropología lo que Gerald Durrel
532,EL ARTE DE LA GUERRA,"TZU, SUN",Ensayo,43,7.38,91,Muy bueno,4,"Es el tratado sobre estrategia más famoso del mundo, que se ha convertido en un libro de culto en el ámbito de la empresa. Varias películas ambientadas en Wall Street han contribuido a popularizar est"
533,LAS PUERTAS DE LA PERCEPCIÓN. CIELO E INFIERNO,"HUXLEY, ALDOUS",Ensayo,44,7.33,54,Muy bueno,5,"Aldous Huxley, uno de los intelectuales más osados de nuestro tiempo, recoge en este libro dos artículos acerca de las drogas alucinógenas y su influencia en diversas manifestaciones artísticas, de la"
534,CAÍN,"SARAMAGO, JOSÉ",Ensayo,45,7.31,237,Muy bueno,22,"Qué diablo de Dios es éste que, para enaltecer a Abel, desprecia a Caín. Si en El Evangelio según Jesucristo José Saramago nos dio su visión del Nuevo Testamento, en Caín regresa a los primeros libros"
