,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
645,EL RUIDO Y LA FURIA,"FAULKNER, WILLIAM",Ficcion literaria,40,7.17,128,Muy bueno,14,"El ruido y la furia es una obra maestra de la literatura. Relata la degeneración progresiva de la familia Compson, sus secretos y las relaciones de amor y odio que la sostienen y la destruyen. Por pri"
646,LA HIJA DEL CURANDERO,"TAN, AMY",Ficcion literaria,41,7.15,134,Muy bueno,8,Esta es la entrañable historia de dos generaciones de mujeres unidas por la herencia de la sangre y las cualidades inefables del amor. La anciana LuLing comienza a escribir todo lo que recuerda de su 
647,SEMILLAS DEL AYER. Saga Dollanganger 4,"ANDREWS, V.C. (Virginia C. Andrews)",Ficcion literaria,42,7.14,108,Muy bueno,4,El amor prohibido que surgió entre Cathy y Chris durante su cautiverio en Foxworth Hall es uno de los secretos más oscuros de la familia Dollanganger. Ni siquiera formando una nueva familia ni adoptan
648,YÁIZA,"VÁZQUEZ-FIGUEROA, ALBERTO",Ficcion literaria,43,7.12,116,Muy bueno,3,"Ésta es la segunda entrega de la saga de los Perdomo, una familia de Lanzarote obligada a emigrar a tierras sudamericanas. Yáiza Perdomo, una joven de insólita belleza, posee un don sobrenatural para "
649,SEDA,"BARICCO, ALESSANDRO",Ficcion literaria,44,7.09,736,Muy bueno,54,"El autor presentaba la edición italiana de este libro, que tuvo un éxito extraordinario, con estas palabras: Ésta no es una novela. Ni siquiera es un cuento. Ésta es una historia. Empieza con un hombr"
650,CONTRA EL VIENTO DEL NORTE,"GLATTAUER, DANIEL",Ficcion literaria,45,7.09,315,Muy bueno,56,Con qué pocas palabras puede desatarse la pasión. En la vida diaria ¿hay lugar más seguro para los deseos secretos que el mundo virtual? Leo Leike recibe mensajes por error de una desconocida llamada 
651,EL JILGUERO,"TARTT, DONNA",Ficcion literaria,46,7.08,150,Muy bueno,32,"Al acercarnos a El jilguero, vamos enfocando una habitación de hotel en Amsterdam. Theo Decker lleva más de una semana encerrado entre esas cuatro paredes, fumando sin parar, bebiendo vodka y mastican"
652,LA HOGUERA DE LAS VANIDADES,"WOLFE, TOM",Ficcion literaria,47,7.07,197,Muy bueno,12,"Tom Wolfe debutó triunfalmente como novelista con La hoguera de las vanidades, que fue calificada como la novela de Nueva York. El protagonista es un yuppie, un asesor financiero que se ha convertido "
653,LA REINA DEL SUR,"PÉREZ-REVERTE, ARTURO",Ficcion literaria,48,7.04,672,Muy bueno,37,"El bestseller de Arturo Pérez-Reverte que inspira la serie de televisión.
«Sonó el teléfono y supo que la iban a matar. Lo supo con tanta certeza que se quedó inmóvil, la cuchilla en alto, el cabello"
654,TOMBUCTÚ,"AUSTER, PAUL",Ficcion literaria,49,7.03,128,Muy bueno,13,"Míster Bones, el perro protagonista de esta sorprendente novela de Paul Auster, es el compañero y confidente de Willy G. Christmas, un poeta vagabundo de Brooklyn. Willy presiente que su muerte está c"
655,PÉTALOS AL VIENTO. Saga Dollanganger 2,"ANDREWS, V.C. (Virginia C. Andrews)",Ficcion literaria,50,7.02,146,Muy bueno,10,"A Cathy, Chris y Carrie el recuerdo de la terrorífica experiencia en el desván de la mansión Foxworth Hall siempre los atormentará. Su madre, que siempre había sido cariñosa y atenta, se vio empujada "
656,CALDERÓN,"RODRÍGUEZ CUADROS, EVANGELINA",Filologia,1,8,2,Muy bueno,1,"Este libro intenta contestar, de manera sintética y clarificadora, a algunos interrogantes: ¿Quién fue Calderón? ¿Qué Calderón nos han enseñado a admirar como patrimonio nacional de nuestro Siglo de O"
657,AQUÍ Y AHORA. Diario de escritura,"HERNÁNDEZ, MIGUEL ÁNGEL",Filologia,2,7,1,Muy bueno,1,"Miguel Ángel Hernández es un escritor melancólico  que siempre ha escrito con mapa, pero que en esta ocasión aborda la redacción de su nuevo diario con brújula. En efecto, el diario de escritura Aquí "
658,CALDERÓN,"RODRÍGUEZ CUADROS, EVANGELINA",Filologia,3,8,2,Muy bueno,1,"Este libro intenta contestar, de manera sintética y clarificadora, a algunos interrogantes: ¿Quién fue Calderón? ¿Qué Calderón nos han enseñado a admirar como patrimonio nacional de nuestro Siglo de O"
659,AQUÍ Y AHORA. Diario de escritura,"HERNÁNDEZ, MIGUEL ÁNGEL",Filologia,4,7,1,Muy bueno,1,"Miguel Ángel Hernández es un escritor melancólico  que siempre ha escrito con mapa, pero que en esta ocasión aborda la redacción de su nuevo diario con brújula. En efecto, el diario de escritura Aquí "
660,EL PROYECTO FOTOGRÁFICO PERSONAL,"VÁZQUEZ, ROSA ISABEL",Fotografia,1,8,1,Muy bueno,1,Llega un momento en la trayectoria de un fotógrafo en el que necesita evolucionar y expresarse a través de un conjunto de fotografías con una entidad propia. Construir un proyecto personal significa d
661,FOTOGRAFÍA Y MOTIVO POÉTICO,"RAICH MUÑOZ, LLORENÇ",Fotografia,2,7,1,Muy bueno,0,"Si la mística ha expresado lo inefable de sus experiencias a través de la palabra poética, la fotografía, desde una concepción mística del arte y a través de su equivalente, el motivo poético, puede c"
662,MANUAL DE FOTOGRAFÍA DE LANGFORD,"LANGFORD, MICHAEL y ANDREWS, PHILIP",Fotografia,3,7,1,Muy bueno,1,"Guía práctica y de fácil comprensión para iniciarse en el mundo de la fotografía, tanto digital como analógica.

"
663,EL PROYECTO FOTOGRÁFICO PERSONAL,"VÁZQUEZ, ROSA ISABEL",Fotografia,4,8,1,Muy bueno,1,Llega un momento en la trayectoria de un fotógrafo en el que necesita evolucionar y expresarse a través de un conjunto de fotografías con una entidad propia. Construir un proyecto personal significa d
664,FOTOGRAFÍA Y MOTIVO POÉTICO,"RAICH MUÑOZ, LLORENÇ",Fotografia,5,7,1,Muy bueno,0,"Si la mística ha expresado lo inefable de sus experiencias a través de la palabra poética, la fotografía, desde una concepción mística del arte y a través de su equivalente, el motivo poético, puede c"
665,MANUAL DE FOTOGRAFÍA DE LANGFORD,"LANGFORD, MICHAEL y ANDREWS, PHILIP",Fotografia,6,7,1,Muy bueno,1,"Guía práctica y de fácil comprensión para iniciarse en el mundo de la fotografía, tanto digital como analógica.

"
666,UN BARRIL EN LA MOCHILA,"GASCÓN, NÉSTOR",Guias de viaje,1,10,1,Excelente,0,"Desde que tomé una de las decisiones más importantes de mi vida, la cual me condujo a abandonar mi zona de confort y a mi gente de manera indefinida, se produjo una apertura en mi mente que jamás imag"
667,IKIMASHOU. Viaja a Japón a través del anime,"GÓMEZ, LUCÍA",Guias de viaje,2,9,3,Excelente,2,"Su belleza natural, su cultura, sus habitantes y su gastronomía convierten Japón en el destino soñado por viajeros de todo el mundo y en uno de los países más visitados del Lejano Oriente.Esta complet"
668,100 COSAS QUE HAY QUE SABER DEL CAMINO DE SANTIAGO,"MENCOS, CARLOS",Guias de viaje,3,7,1,Muy bueno,1,"El Camino de Santiago ha resurgido con fuerza en las últimas décadas. De los 13 peregrinos que llegaron a Compostela en 1978, se ha pasado a los cientos de miles que lo recorren cada año. No obstante,"
669,UN BARRIL EN LA MOCHILA,"GASCÓN, NÉSTOR",Guias de viaje,4,10,1,Excelente,0,"Desde que tomé una de las decisiones más importantes de mi vida, la cual me condujo a abandonar mi zona de confort y a mi gente de manera indefinida, se produjo una apertura en mi mente que jamás imag"
670,IKIMASHOU. Viaja a Japón a través del anime,"GÓMEZ, LUCÍA",Guias de viaje,5,9,3,Excelente,2,"Su belleza natural, su cultura, sus habitantes y su gastronomía convierten Japón en el destino soñado por viajeros de todo el mundo y en uno de los países más visitados del Lejano Oriente.Esta complet"
671,100 COSAS QUE HAY QUE SABER DEL CAMINO DE SANTIAGO,"MENCOS, CARLOS",Guias de viaje,6,7,1,Muy bueno,1,"El Camino de Santiago ha resurgido con fuerza en las últimas décadas. De los 13 peregrinos que llegaron a Compostela en 1978, se ha pasado a los cientos de miles que lo recorren cada año. No obstante,"
672,BIOGRAFÍA DE LA HUMANIDAD. Historia de la evolución de las culturas,"MARINA, JOSÉ ANTONIO y RAMBAUD, JAVIER",Historia,1,10,2,Excelente,0,"La especie humana es un híbrido de biología y cultura, y este sorprendente y original libro le da todo el protagonismo no a la genética, sino a la historia de la evolución cultural, a través de un rec"
673,VOCES DEL AYER,"IGLESIAS MARTINEZ, INÉS",Historia,2,10,1,Excelente,1,"Voces del Ayer es un viaje a la Asturias de nuestra posguerra y dictadura que nos hace testigos de unas condiciones de vida extremadamente duras, de historias personales y anhelos frustrados por la re"
674,LA GRAN GUERRA 1914-1918,"FERRO, MARC",Historia,3,-,0,Sin votos,0,"«Larga, dolorosa, mortífera, la Gran Guerra mostró cómo se mataban unos a otros millones de hombres que todavía la víspera juraban ""guerra a la guerra"". Fueron compañeros de armas aquellos a quienes a"
675,ELOGIO Y NOSTALGIA DE TOLEDO,"MARAÑÓN, GREGORIO",Historia,4,10,1,Excelente,1,"

"
676,ANTIHISTORIA DE MÉXICO,"BRINGAS NOSTTI, RAÚL",Historia,5,10,1,Excelente,1,"Durante varias generaciones, México ha repetido una historia oficial cargada de proezas, superhombres, actos desinteresados y logros sublimes, y muchos historiadores han contribuido a ello: los escrit"
677,CUADERNOS DE GUERRA: 1914-1918,"BARTHAS, LOUIS",Historia,6,10,1,Excelente,0,"Barthas, tonelero, sindicalista y cabo de infantería del ejército francés, acudió a las trincheras en septiembre de 1914 y terminó siendo testigo de un conflicto que consolidó su convicción más antibe"
678,EL RASTRO DE LOS RUSOS MUERTOS,"VALLÉS, VICENTE",Historia,7,10,1,Excelente,0,"A través de una intrigante cadena de asesinatos y muertes inexplicadas de espías y diplomáticos rusos por todo el mundo, Vicente Vallés nos sumerge en un relato tan trepidante como real. ¿Intenta Rusi"
679,"ESPAÑA AYER, HOY Y MAÑANA","RICA SAN GIL, JAVIER DE LA",Historia,8,10,1,Excelente,0,"Desde una visión estrictamente personal pinta, a brochazos gruesos, la historia de España desde la antigüedad hasta nuestros días, para luego, a base de ir vertiendo puñados de sal gorda, tratar de re"
680,"CINCO DÍAS EN LONDRES, MAYO DE 1940: CHURCHILL SOLO FRENTE A HITLER","LUKACS, JOHN",Historia,9,10,1,Excelente,1,"Durante cinco días, entre el 24 y el 28 de Mayo de 1940, los miembros del Gabinete de Guerra británico, presidido por Winston Churchill, debatieron si Inglaterra negociaba con Hitler o continuaba en g"
681,"ORIGEN, TRABAJO Y DESARROLLO DEL HOMBRE EN LA TIERRA",DIONISIO PIRIS DURO,Historia,10,10,1,Excelente,0,"En Origen, trabajo y desarrollo del hombre en la Tierra se trata el comienzo de la especie humana, en sus dos teorías principales. Además, se recopilan los genios más representativos para la evolución"
682,EL ACRÓSTICO,"BESNÉ, ADRIÁN",Historia,11,10,1,Excelente,0,"En forma novelada, presentamos una posible historia escritapor Luis Méndez de Haro, VI Marqués del Carpio y II CondeDuque de Olivares, entre otros títulos, que, hecho históricocierto, acompañaba a Vil"
683,1596: CUANDO A CÁDIZ ARRIBARON LOS INGLESES,"IGLESIAS DE PAÚL, SANTIAGO",Historia,12,10,1,Excelente,1,"En el año 1596, una flota anglo-holandesa conquista Cádiz. Cuesta creer que todo un imperio como el español fuese tan vulnerable, pero en aquella época las posesiones de Felipe II eran codiciadas por "
684,DOBLEHOMBRE EN CARTAGENA DE INDIAS,"ZAFRA CARAMÉ, ENRIQUE",Historia,13,10,1,Excelente,0,"En el transcurso de los últimos años, ha salido a la luz un considerable número de obras escritas sobre la figura de don Blas de Lezo y Olabarrieta (1689-1741), que llegó a Teniente General de la Real"
685,LAS INDIAS NO ERAN COLONIAS,"LEVENE, RICARDO",Historia,14,10,1,Excelente,0,"Esta obra, recoge un balance tardío de la labor historiográfica del autor. Luego de años de analizar la historia del derecho indiano, elabora la siguiente tesis ""Las Indias no eran Colonias"" para refe"
686,ARMONÍA EN OCHO PARTES,"GÓMEZ PEDREIRA, MÓNICA",Historia,15,10,1,Excelente,1,"Una novela basada en hechos históricos, a través de las vivencias y la mirada de personajes de ficción. Un recorrido por la memoria de la población afroamericana.Nuestra historia arranca en 1860 con l"
687,LA RETIRADA DE MOSCÚ,"STAHEL, DAVID",Historia,16,10,1,Excelente,0,"La campaña de invierno de 1941 – 1942 de Alemania es vista generalmente como su primera derrota. En La retirada de Moscú, un estudio audaz y apasionante de uno de los momentos más trascendentales de l"
688,GEOGRAFÍA INSÓLITA DEL IMPERIO ESPAÑOL,"SÁNCHEZ, JORGE",Historia,17,10,1,Excelente,1,¿Sabía que España gobernó más de la mitad de los actuales Estados Unidos de América? ¿O que fray Junípero Serra es el único español representado en el Capitolio de Washington? ¿Conocía que el Galeón d
689,ISABEL. LA REINA GUERRERA,"DOWNEY, KIRSTIN",Historia,18,9.5,2,Excelente,0,"En 1474, cuando la mayoría de las mujeres carecían de toda autoridad,  una Isabel de veintitrés años desafiaba a su hermano, Enrique IV de Castilla, para hacerse con el control del reino castellano. S"
690,NO TE ARREPIENTAS. 35 razones para estar orgulloso de la Historia de España,"ESPARZA, JOSÉ JAVIER",Historia,19,9.33,6,Excelente,1,"Los hechos que se cuentan en este libro no son desconocidos. Pero, en muchos casos, sí han sido olvidados, silenciados o deformados. Todo nuestro pasado padece desde hace mucho tiempo la lacra de la m"
691,VISIGODOS. La verdadera historia de la primera España,"ESPARZA, JOSÉ JAVIER",Historia,20,9.17,6,Excelente,1,"Los visigodos crearon por primera vez un Estado en España. Lo mantuvieron vivo hasta que la peste, el hambre y la guerra lo destruyeron. No eran bárbaros ni atrasados. Sabían que la Tierra era redonda"
692,SINE SPECULO,"MATEOS, MAITE",Historia,21,9,1,Excelente,1,"Hacia finales de la Edad Media, el acceso a las instituciones universitarias está vetado para las mujeres. Por eso, Alais de Albió acude al Estudio General de Lleida vestida como un hombre, dispuesta "
693,Y LLEGÓ LA BARBARIE,"RUIZ JIMÉNEZ, JOSÉ ÁNGEL",Historia,22,9,1,Excelente,0,La obra de referencia en lengua española sobre el conflicto de Yugoslavia.Un libro oportuno que nos muestra cómo la barbarie y la locura nacionalista pueden estallar en cualquier momento.El 31 de marz
694,TIGRES EN EL BARRO,"CARIUS, OTTO",Historia,23,9,1,Excelente,0,"La Segunda Guerra Mundial comenzó con el ruido metálico de la Blitzkrieg alemana, potentemente apoyada desde el aire y liderada en tierra por el arma que dominaría los campos de batalla de Europa y el"
695,NINGÚN LUGAR ADONDE IR,"MEKAS, JONAS",Historia,24,9,1,Excelente,0,"Ningún Lugar adonde ir es el diario del largo exilio que Jonas Mekas emprende en 1944 tras huir de su pequeño pueblo en Lituania por razones políticas, ese extenso viaje involuntario incluye campos de"
696,LA ESPAÑA IMPERIAL 1469-1716,"ELLIOT, JOHN H.",Historia,25,9,1,Excelente,0,"Nos encontramos ante una obra excepcional. En primer lugar, porque se trata de un análisis intencionado y profundo de una época de la historia y de la vida española cuyo sentido ha sido a menudo desvi"
697,DOS FOTÓGRAFOS EN MAUTHAUSEN,"WINGEATE PIKE, DAVID",Historia,26,9,1,Excelente,1,"«Su disposición a lamerles las botas a los SS nos ponía enfermos», dice Antonio García de Francesc Boix, el ""héroe"" de Mauthausen. Ambos españoles trabajaban en el laboratorio fotográfico del campo de"
698,TREBLINKA,"STEINER, JEAN-FRANÇOIS",Historia,27,9,1,Excelente,1,"Treblinka, menos conocido que Auswichwitz, Dachau, Ravensbrück, Buchenwald no era un campo de concentración, era un campo de exterminio. Muchos de los hombres, mujeres y niños encerrados en él muriero"
699,LA GRAN VENGANZA. De la memoria histórica al derribo de la monarquía,"LAÍNZ, JESÚS",Historia,28,9,1,Excelente,1,"El último empujón hacia el dominio totalitario de la izquierda consiste en demonizar el franquismo y todas sus consecuencias, incluidos el régimen del 78 y la Monarquía. En eso consiste la llamada «me"
700,EL LEGADO DE ROMA,"WICKHAM, CHRIS",Historia,29,9,1,Excelente,1,«El legado de Roma es un libro excepcional. Chris Wickham ha trazado en él una interpretación histórica novedosa del largo período que abarca desde el fin del Imperio Romano hasta los albores del año1
701,LOS AÑOS DE LA INFAMIA. UNA CRÓNICA DE MANUEL LEGUINECHE SOBRE LA II GUERRA MUNDIA,"LEGUINECHE, MANUEL",Historia,30,9,1,Excelente,0,"

"
702,LA BRIGADISTA : DIARIO DE UNA DINAMITERA DE LA GUERRA CIVIL,"FERNÁNDEZ BOBROVSKI, DIMITRI y PARSHINA, ELIZAVETA",Historia,31,9,1,Excelente,0,"Elizaveta Parshina o Josefa Pérez Herrera, nombre con el que la conocieron los españoles, fue una de la miles de mujeres y hombres que vinieron a luchar voluntarios a España durante la Guerra Civil. E"
703,HISTORIA DEL PODER POLÍTICO EN ESPAÑA,"VILLACAÑAS BERLANGA, JOSÉ LUIS",Historia,32,9,1,Excelente,1,"Ahora más que nunca es necesario tanto plantear las preguntas adecuadas como evitar posibles respuestas basadas en ideas preconcebidas. Y ese es precisamente el objetivo de este libro, que intenta ave"
704,LA MITAD DEL MUNDO QUE FUE DE ESPAÑA,"TAMAMES, RAMÓN",Historia,33,9,1,Excelente,1,"Una descripción amena e interesante del Tratado de Tordesillas y sus consecuencias.Adentrándose una vez más en los campos de la historia, y sin perder un gramo de rigor científico, el autor nos sorpre"
705,"ESPAÑA EN GUERRA. PERSECUCION, REPRESION, CRUZADA","CIERVA, RICARDO DE LA",Historia,34,9,1,Excelente,1,"El 19 de julio de 1936, domingo, se dijeron las últimas misas en público en la que empezaba a ser zona republicana. Ya el día anterior había empezado la profanación de iglesias, los incendios y la per"
706,MADRE PATRIA,"GULLO OMODEO, MARCELO",Historia,35,9,1,Excelente,1,"En este monumental libro, Marcelo Gullo Omodeo demuestra que la leyenda negra fue la obra más genial del marketing político británico. Que, de manera inconcebible, los españoles se han creído la histo"
707,LA REVOLUCIÓN RUSA CONTADA PARA ESCÉPTICOS,"ESLAVA GALÁN, JUAN",Historia,36,8.6,5,Muy bueno,0,"El triunfo de la Revolución rusa transformó el mundo y fue trascendental para la historia de la política contemporánea. Este libro, riguroso y ameno, nos ayudará a entender los motivos que provocaron "
708,KURSK,"MOORE, ROBERT",Historia,37,8.5,2,Muy bueno,0,"La aclamada y emocionante historia real del destino del submarino más poderoso de Rusia que ha inspirado la película Kursk, protagonizada por Colin FirthA las 11:28 del sábado 12 de agosto de 2000, un"
709,EL MITO DE LA GUERRA BUENA,"PAWELS, JACQUES",Historia,38,8.5,2,Muy bueno,1,"Libro en el que el historiador Jacques Pauwels, analiza de forma muy documentada el comportamiento de los EE.UU.  durante la Segunda Guerra Mundial, y los años inmediatamente anteriores y posteriores:"
710,"ARMAS, GÉRMENES Y ACERO","DIAMOND, JARED",Historia,39,8.46,35,Muy bueno,3,"Galardonada con el Premio Pulitzer, esta obra ha vendido más de un millón de ejemplares en todo el mundo. Se trata de un apasionante y clarificador trabajo de investigación que desmantela el concepto "
711,EL TERCER REICH,"BURLEIGH, MICHAEL",Historia,40,8.25,4,Muy bueno,1,"Este libro demuestra que el abandono de la democracia y la tolerancia que protagonizó el Tercer Reich estaba extendido por la Europa de la época. Narra cómo un movimiento pseudorreligioso, imbuido de "
712,LAS 999 MUJERES DE AUSCHWITZ,"MACADAM, HEATHER DUNE",Historia,41,8.25,4,Muy bueno,2,"El 25 de marzo de 1942, cientos de jóvenes mujeres judías y solteras abandonaron sus hogares para subir a un tren. Estaban impecablemente vestidas y peinadas, y arrastraban sus maletas llenas de ropa "
713,LOS BORBONES Y SUS LOCURAS,"CERVERA MORENO, CÉSAR",Historia,42,8,2,Muy bueno,2,"¿Sabías que Felipe V se quedó calvo tras ratificar el Tratado de Utrech?¿Que las prostitutas madrileñas apoyaron en bloque a los borbones durante la Guerra de Sucesión?¿Que Francisco de Asís, marido d"
714,QUE EL BIEN OS ACOMPAÑE,"GROSSMAN, VASILI",Historia,43,8,2,Muy bueno,2,"Traducido por primera vez al español, Que el bien os acompañe es junto a Todo fluye el último libro que escribió Vasili Grossman. Si Todo fluye es su testamento político, Que el bien os acompañe es su"
715,BREVE HISTORIA DE LA BATALLA DE TRAFALGAR,"FERNÁNDEZ, LUIS E. IÑIGO",Historia,44,8,2,Muy bueno,0,"El Santísima Trinidad, la Royal Navy,… adéntrese en los buques de guerra del siglo XVIII y sufra las penalidades de la vida a bordo. Comprenda por qué la victoria de Nelson sobre españoles y franceses"
716,UNA MUY BREVE HISTORIA DE RUSIA,"HOSKING, GEOFFREY",Historia,45,8,2,Muy bueno,0,Sólo un historiador profundamente conocedor de la materia e inserto en la gran tradición divulgativa británica como Geoffrey Hosking puede llevar adelante el alarde que supone encerrar en un breve vol
717,EL DRAMA DE VARSOVIA,"GRANZOW DE LA CERDA, CASIMIRO",Historia,46,8,1,Muy bueno,0,"Casimiro Granzow de la Cerda, Cassio, vivió en Varsovia durante la II Guerra Mundial y fue testigo directo de los importantes sucesos que tuvieron lugar: desde la invasión nazi en septiembre de 1939 a"
718,"ESPAÑA, CENTRO DEL MUNDO 1519-1682","GODWIN, ROBERT",Historia,47,8,1,Muy bueno,1,"Hace 400 años, España era el centro del mayor imperio de la historia, con dominios en los que ""no se ponía el sol"". Desde los Reyes Católicos hasta Felipe IV, España tuvo 150 años de poder casi absolu"
719,DE ADOLF A HITLER,"WEBER, THOMAS",Historia,48,8,1,Muy bueno,1,"De Adolf a Hitleres el apasionante relato de cómo un tipo solitario, torpe y desempleado, sin cualidades de liderazgo reconocibles y con ideas políticas fluctuantes, se convirtió en el líder seguro de"
720,"NOSOTROS, LOS VALENCIANOS","FUSTER, JOAN",Historia,49,8,1,Muy bueno,0,"Nosotros,los valencianos es una de las obras más ambiciosas de Joan Fuster, llena de implicaciones sociales y políticas, que expresan su ideario personal y de los sectores en los que ha influido. Fue "
721,LA REVOLUCIÓN FRANCESA. Una breve introducción,"DAVIES, PETER",Historia,50,8,1,Muy bueno,0,Pocos acontecimientos tan decisivos en la historia de Europa y de la civilización occidental como la Revolución francesa que en 1789 asestó el primer golpe a las formas de gobierno del Antiguo Régimen
722,2001. UNA ODISEA DEL ESPACIO,VV.AA.,Historia del cine,1,10,2,Excelente,0,"En el 50 aniversario del film 2001: Una odisea del espacio, varios autores de prestigio analizan los diferentes aspectos de la película. El rodaje, los logros técnicos, los personajes, la música, la e"
723,¡VIVA RUSIA!,"BERLANGA, LUIS G.; AZCONA, RAFAEL y Otros",Historia del cine,2,10,1,Excelente,1,"La lectura de ¡Viva Rusia!, cuarta e inédita entrega de la saga cinematográfica dedicada a los Leguineche, permite conocer el desenlace previsto para las grotescas andanzas de la decadente familia de "
724,LA NARANJA MECÁNICA. EL LIBRO DEL 50 ANIVERSARIO,VV.AA.,Historia del cine,3,10,1,Excelente,0,"Considerada una de las películas clave no solo de su autor sino de toda una era, La naranja mecánica convulsionó el cine y la sociedad con su propuesta, absolutamente novedosa a todos los niveles. Ade"
725,HELLRAISER: MITOLOGÍA DEL LAMENTO,"COLMENAR, SERGIO",Historia del cine,4,9,1,Excelente,0,"En 1987, un joven escritor inglés de nombre Clive Barker, merecido ganador del prestigioso World Fantasy Award por sus míticos Libros Sangrientos, y que ya contaba entre sus más grandes admiradores co"
726,EL DESAFÍO DEL CINÉFILO,"KELLY, RICHARD",Historia del cine,5,9,1,Excelente,0,Este libro es un homenaje al cine y a los que aman al cine y ofrece respuestas a algunas de las grandes preguntas de la historia del cine. ¿Cuál es la mejor escena de sexo de la historia? ¿El mejor fi
727,1940 HOLLYWOOD AÑOS DORADOS,VV.AA.,Historia del cine,6,9,1,Excelente,0,"Hollywood produjo en 1940 un buen puñado de grandes películas. Con muchos de los mejores directores de la Historia en activo, y gran parte del Star System en pleno apogeo, la cosecha fue realmente pro"
728,PELÍCULAS MALAS E INFRAVALORADAS,"GARCI, JOSÉ LUIS",Historia del cine,7,8.5,2,Muy bueno,0,"“Hay tantas películas que han sido menospreciadas, tantas películas que no han podido alcanzar las páginas ni de las revistas prestigiosas ni de las especializadas; tantas maravillas, en fin, que pasa"
729,ME TRAGARÉ TU ALMA,"RUIZ DE GAUNA, ÁLVARO",Historia del cine,8,8,1,Muy bueno,0,"El libro incluye además entrevistas exclusivas a personalidades del universo Evil Dead como Betsy Baker, Danny Hicks, Marcus Gilbert, Richard de Manicor, Roque Baños o Tom Sullivan.En 1981, un grupo d"
730,2001. UNA ODISEA DEL ESPACIO,VV.AA.,Historia del cine,9,10,2,Excelente,0,"En el 50 aniversario del film 2001: Una odisea del espacio, varios autores de prestigio analizan los diferentes aspectos de la película. El rodaje, los logros técnicos, los personajes, la música, la e"
731,¡VIVA RUSIA!,"BERLANGA, LUIS G.; AZCONA, RAFAEL y Otros",Historia del cine,10,10,1,Excelente,1,"La lectura de ¡Viva Rusia!, cuarta e inédita entrega de la saga cinematográfica dedicada a los Leguineche, permite conocer el desenlace previsto para las grotescas andanzas de la decadente familia de "
732,LA NARANJA MECÁNICA. EL LIBRO DEL 50 ANIVERSARIO,VV.AA.,Historia del cine,11,10,1,Excelente,0,"Considerada una de las películas clave no solo de su autor sino de toda una era, La naranja mecánica convulsionó el cine y la sociedad con su propuesta, absolutamente novedosa a todos los niveles. Ade"
733,EL DESAFÍO DEL CINÉFILO,"KELLY, RICHARD",Historia del cine,12,9,1,Excelente,0,Este libro es un homenaje al cine y a los que aman al cine y ofrece respuestas a algunas de las grandes preguntas de la historia del cine. ¿Cuál es la mejor escena de sexo de la historia? ¿El mejor fi
734,HELLRAISER: MITOLOGÍA DEL LAMENTO,"COLMENAR, SERGIO",Historia del cine,13,9,1,Excelente,0,"En 1987, un joven escritor inglés de nombre Clive Barker, merecido ganador del prestigioso World Fantasy Award por sus míticos Libros Sangrientos, y que ya contaba entre sus más grandes admiradores co"
735,1940 HOLLYWOOD AÑOS DORADOS,VV.AA.,Historia del cine,14,9,1,Excelente,0,"Hollywood produjo en 1940 un buen puñado de grandes películas. Con muchos de los mejores directores de la Historia en activo, y gran parte del Star System en pleno apogeo, la cosecha fue realmente pro"
736,PELÍCULAS MALAS E INFRAVALORADAS,"GARCI, JOSÉ LUIS",Historia del cine,15,8.5,2,Muy bueno,0,"“Hay tantas películas que han sido menospreciadas, tantas películas que no han podido alcanzar las páginas ni de las revistas prestigiosas ni de las especializadas; tantas maravillas, en fin, que pasa"
737,ME TRAGARÉ TU ALMA,"RUIZ DE GAUNA, ÁLVARO",Historia del cine,16,8,1,Muy bueno,0,"El libro incluye además entrevistas exclusivas a personalidades del universo Evil Dead como Betsy Baker, Danny Hicks, Marcus Gilbert, Richard de Manicor, Roque Baños o Tom Sullivan.En 1981, un grupo d"
738,ESTUCHE TRILOGIA DE ESCIPIÓN (AFRICANUS; LAS LEGIONES MALDITAS; LA TRAICION DE ROMA),"POSTEGUILLO, SANTIAGO",Historica y aventuras,1,9,222,Excelente,21,"La trilogía histórica más esperada ahora en un pack de lujo: Africanus, El hijo del cónsul y Las legiones malditas y La traición de Roma. Estuche Trilogía Africanus de Santiago Posteguillo. La histori"
739,LAS LEGIONES MALDITAS,"POSTEGUILLO, SANTIAGO",Historica y aventuras,2,8.65,1.255,Muy bueno,173,"La historia de las legiones que desafiaron a Aníbal. Publio Cornelio Escipión, conocido por el apodo de Africanus, era considerado por muchos el heredero de las cualidades militares atribuidas a su pa"
740,LA LEGIÓN PERDIDA. El sueño de Trajano,"POSTEGUILLO, SANTIAGO",Historica y aventuras,3,8.63,367,Muy bueno,51,"En el año 53 a. C. el cónsul Craso cruzó el Éufrates para conquistar Oriente, pero su ejército fue destrozado en Carrhae. Una legión entera cayó prisionera de los partos. Nadie sabe a ciencia cierta q"
741,CIRCO MÁXIMO. La ira de Trajano,"POSTEGUILLO, SANTIAGO",Historica y aventuras,4,8.57,530,Muy bueno,74,"Circo Máximo es la historia de Trajano y su gobierno, guerras y traiciones, lealtades insobornables e historias de amor imposibles. Hay una vestal, un juicio, inocentes acusados, un abogado especial, "
